IdPago,Pago,Rfc,Factura,FormaPago,Mensaje,ReferenciaManual
3385,3.5800000000000000710542735760100185871124267578125,N/E,null,null,Sin referencia,N/A
3386,254.009999999999990905052982270717620849609375,N/E,null,null,Sin referencia,N/A
3387,0.689999999999999946709294817992486059665679931640625,N/E,null,null,Sin referencia,N/A
3388,4.339999999999999857891452847979962825775146484375,N/E,null,null,Sin referencia,N/A
3389,1188,N/E,null,null,Sin referencia,N/A
3390,254.009999999999990905052982270717620849609375,N/E,null,null,Sin referencia,N/A
3391,0.689999999999999946709294817992486059665679931640625,N/E,null,null,Sin referencia,N/A
3392,2.430000000000000159872115546022541821002960205078125,N/E,null,null,Sin referencia,N/A
3393,4.339999999999999857891452847979962825775146484375,N/E,null,null,Sin referencia,N/A
3394,15.1899999999999995026200849679298698902130126953125,N/E,null,null,Sin referencia,N/A
3395,1705.2100000000000363797880709171295166015625,N/E,null,null,Sin referencia,N/A
3396,246.93000000000000682121026329696178436279296875,N/E,null,null,Sin referencia,N/A
3397,0.68000000000000004884981308350688777863979339599609375,N/E,null,null,Sin referencia,N/A
3398,3.4900000000000002131628207280300557613372802734375,N/E,null,null,Sin referencia,N/A
3399,4.21999999999999975131004248396493494510650634765625,N/E,null,null,Sin referencia,N/A
3400,21.809999999999998721023075631819665431976318359375,N/E,null,null,Sin referencia,N/A
3401,269.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3402,0.1000000000000000055511151231257827021181583404541015625,N/E,null,null,Sin referencia,N/A
3403,0.5500000000000000444089209850062616169452667236328125,N/E,null,null,Sin referencia,N/A
3404,0.65000000000000002220446049250313080847263336181640625,N/E,null,null,Sin referencia,N/A
3405,3.45000000000000017763568394002504646778106689453125,N/E,null,null,Sin referencia,N/A
3406,1634.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3407,457.01999999999998181010596454143524169921875,N/E,null,null,Sin referencia,N/A
3408,201,N/E,null,null,Sin referencia,N/A
3409,0.409999999999999975575093458246556110680103302001953125,N/E,null,null,Sin referencia,N/A
3410,1.25,N/E,null,null,Sin referencia,N/A
3411,2.569999999999999840127884453977458178997039794921875,N/E,null,null,Sin referencia,N/A
3412,4.46999999999999975131004248396493494510650634765625,N/E,null,null,Sin referencia,N/A
3413,7.80999999999999960920149533194489777088165283203125,N/E,null,null,Sin referencia,N/A
3414,27.940000000000001278976924368180334568023681640625,N/E,null,null,Sin referencia,N/A
3415,2032.470000000000027284841053187847137451171875,N/E,null,null,Sin referencia,N/A
3416,1141.98000000000001818989403545856475830078125,N/E,null,null,Sin referencia,N/A
3417,588.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3418,3.3300000000000000710542735760100185871124267578125,N/E,null,null,Sin referencia,N/A
3419,10.0600000000000004973799150320701301097869873046875,N/E,null,null,Sin referencia,N/A
3420,14.6099999999999994315658113919198513031005859375,N/E,null,null,Sin referencia,N/A
3421,20.82000000000000028421709430404007434844970703125,N/E,null,null,Sin referencia,N/A
3422,1.6100000000000000976996261670137755572795867919921875,N/E,null,null,Sin referencia,N/A
3423,2.339999999999999857891452847979962825775146484375,N/E,null,null,Sin referencia,N/A
3424,438,N/E,null,null,Sin referencia,N/A
3425,0.89000000000000001332267629550187848508358001708984375,N/E,null,null,Sin referencia,N/A
3426,5.589999999999999857891452847979962825775146484375,N/E,null,null,Sin referencia,N/A
3427,918.8200000000000500222085975110530853271484375,N/E,null,null,Sin referencia,N/A
3428,769.98000000000001818989403545856475830078125,N/E,null,null,Sin referencia,N/A
3429,612.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3430,266,N/E,null,null,Sin referencia,N/A
3431,0.54000000000000003552713678800500929355621337890625,N/E,null,null,Sin referencia,N/A
3432,1.5800000000000000710542735760100185871124267578125,N/E,null,null,Sin referencia,N/A
3433,1.6799999999999999378275106209912337362766265869140625,N/E,null,null,Sin referencia,N/A
3434,2.5099999999999997868371792719699442386627197265625,N/E,null,null,Sin referencia,N/A
3435,3.399999999999999911182158029987476766109466552734375,N/E,null,null,Sin referencia,N/A
3436,9.8499999999999996447286321199499070644378662109375,N/E,null,null,Sin referencia,N/A
3437,10.480000000000000426325641456060111522674560546875,N/E,null,null,Sin referencia,N/A
3438,15.699999999999999289457264239899814128875732421875,N/E,null,null,Sin referencia,N/A
3439,2756,N/E,null,null,Sin referencia,N/A
3440,1389.59999999999990905052982270717620849609375,N/E,null,null,Sin referencia,N/A
3441,200,N/E,null,null,Sin referencia,N/A
3442,0.409999999999999975575093458246556110680103302001953125,N/E,null,null,Sin referencia,N/A
3443,2.560000000000000053290705182007513940334320068359375,N/E,null,null,Sin referencia,N/A
3444,2.839999999999999857891452847979962825775146484375,N/E,null,null,Sin referencia,N/A
3445,7.54000000000000003552713678800500929355621337890625,N/E,null,null,Sin referencia,N/A
3446,17.780000000000001136868377216160297393798828125,N/E,null,null,Sin referencia,N/A
3447,47.11999999999999744204615126363933086395263671875,N/E,null,null,Sin referencia,N/A
3448,2142.8000000000001818989403545856475830078125,N/E,null,null,Sin referencia,N/A
3449,978.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3450,354,N/E,null,null,Sin referencia,N/A
3451,0.309999999999999997779553950749686919152736663818359375,N/E,null,null,Sin referencia,N/A
3452,0.7199999999999999733546474089962430298328399658203125,N/E,null,null,Sin referencia,N/A
3453,1.9499999999999999555910790149937383830547332763671875,N/E,null,null,Sin referencia,N/A
3454,2,N/E,null,null,Sin referencia,N/A
3455,4.53000000000000024868995751603506505489349365234375,N/E,null,null,Sin referencia,N/A
3456,5.86000000000000031974423109204508364200592041015625,N/E,null,null,Sin referencia,N/A
3457,12.519999999999999573674358543939888477325439453125,N/E,null,null,Sin referencia,N/A
3458,36.63000000000000255795384873636066913604736328125,N/E,null,null,Sin referencia,N/A
3459,515.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3460,1.0500000000000000444089209850062616169452667236328125,N/E,null,null,Sin referencia,N/A
3461,6.589999999999999857891452847979962825775146484375,N/E,null,null,Sin referencia,N/A
3462,1691.009999999999990905052982270717620849609375,N/E,null,null,Sin referencia,N/A
3463,84.0100000000000051159076974727213382720947265625,N/E,null,null,Sin referencia,N/A
3464,3.45999999999999996447286321199499070644378662109375,N/E,null,null,Sin referencia,N/A
3465,21.620000000000000994759830064140260219573974609375,N/E,null,null,Sin referencia,N/A
3466,0.2300000000000000099920072216264088638126850128173828125,N/E,null,null,Sin referencia,N/A
3467,1.4299999999999999378275106209912337362766265869140625,N/E,null,null,Sin referencia,N/A
3468,797.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3469,1.62999999999999989341858963598497211933135986328125,N/E,null,null,Sin referencia,N/A
3470,10.199999999999999289457264239899814128875732421875,N/E,null,null,Sin referencia,N/A
3471,274,N/E,null,null,Sin referencia,N/A
3472,246,N/E,null,null,Sin referencia,N/A
3473,0.5,N/E,null,null,Sin referencia,N/A
3474,0.75,N/E,null,null,Sin referencia,N/A
3475,3.140000000000000124344978758017532527446746826171875,N/E,null,null,Sin referencia,N/A
3476,4.67999999999999971578290569595992565155029296875,N/E,null,null,Sin referencia,N/A
3477,770,N/E,null,null,Sin referencia,N/A
3478,663.2899999999999636202119290828704833984375,N/E,null,null,Sin referencia,N/A
3479,0.65000000000000002220446049250313080847263336181640625,N/E,null,null,Sin referencia,N/A
3480,1.3600000000000000976996261670137755572795867919921875,N/E,null,null,Sin referencia,N/A
3481,1.5800000000000000710542735760100185871124267578125,N/E,null,null,Sin referencia,N/A
3482,8.4900000000000002131628207280300557613372802734375,N/E,null,null,Sin referencia,N/A
3483,9.8499999999999996447286321199499070644378662109375,N/E,null,null,Sin referencia,N/A
3484,0.1000000000000000055511151231257827021181583404541015625,N/E,null,null,Sin referencia,N/A
3485,398,N/E,null,null,Sin referencia,N/A
3486,0.810000000000000053290705182007513940334320068359375,N/E,null,null,Sin referencia,N/A
3487,5.089999999999999857891452847979962825775146484375,N/E,null,null,Sin referencia,N/A
3488,1130.240000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3489,1073.98000000000001818989403545856475830078125,N/E,null,null,Sin referencia,N/A
3490,246,N/E,null,null,Sin referencia,N/A
3491,0.67000000000000003996802888650563545525074005126953125,N/E,null,null,Sin referencia,N/A
3492,2.20000000000000017763568394002504646778106689453125,N/E,null,null,Sin referencia,N/A
3493,2.310000000000000053290705182007513940334320068359375,N/E,null,null,Sin referencia,N/A
3494,4.20000000000000017763568394002504646778106689453125,N/E,null,null,Sin referencia,N/A
3495,13.7400000000000002131628207280300557613372802734375,N/E,null,null,Sin referencia,N/A
3496,14.46000000000000085265128291212022304534912109375,N/E,null,null,Sin referencia,N/A
3497,223,N/E,null,null,Sin referencia,N/A
3498,206,N/E,null,null,Sin referencia,N/A
3499,0.560000000000000053290705182007513940334320068359375,N/E,null,null,Sin referencia,N/A
3500,1.3000000000000000444089209850062616169452667236328125,N/E,null,null,Sin referencia,N/A
3501,2.850000000000000088817841970012523233890533447265625,N/E,null,null,Sin referencia,N/A
3502,3.520000000000000017763568394002504646778106689453125,N/E,null,null,Sin referencia,N/A
3503,0.2099999999999999922284388276239042170345783233642578125,N/E,null,null,Sin referencia,N/A
3504,0.460000000000000019984014443252817727625370025634765625,N/E,null,null,Sin referencia,N/A
3505,625.9299999999999499777914024889469146728515625,N/E,null,null,Sin referencia,N/A
3506,385.8600000000000136424205265939235687255859375,N/E,null,null,Sin referencia,N/A
3507,4.92999999999999971578290569595992565155029296875,N/E,null,null,Sin referencia,N/A
3508,8,N/E,null,null,Sin referencia,N/A
3509,0.79000000000000003552713678800500929355621337890625,N/E,null,null,Sin referencia,N/A
3510,1.2800000000000000266453525910037569701671600341796875,N/E,null,null,Sin referencia,N/A
3511,929,N/E,null,null,Sin referencia,N/A
3512,1.899999999999999911182158029987476766109466552734375,N/E,null,null,Sin referencia,N/A
3513,11.8699999999999992184029906638897955417633056640625,N/E,null,null,Sin referencia,N/A
3514,1774.51999999999998181010596454143524169921875,N/E,null,null,Sin referencia,N/A
3515,460.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3516,1.2600000000000000088817841970012523233890533447265625,N/E,null,null,Sin referencia,N/A
3517,3.62999999999999989341858963598497211933135986328125,N/E,null,null,Sin referencia,N/A
3518,7.87999999999999989341858963598497211933135986328125,N/E,null,null,Sin referencia,N/A
3519,22.690000000000001278976924368180334568023681640625,N/E,null,null,Sin referencia,N/A
3520,2464.67999999999983629095368087291717529296875,N/E,null,null,Sin referencia,N/A
3521,423,N/E,null,null,Sin referencia,N/A
3522,420,N/E,null,null,Sin referencia,N/A
3523,4.8300000000000000710542735760100185871124267578125,N/E,null,null,Sin referencia,N/A
3524,5.37000000000000010658141036401502788066864013671875,N/E,null,null,Sin referencia,N/A
3525,7.230000000000000426325641456060111522674560546875,N/E,null,null,Sin referencia,N/A
3526,30.17999999999999971578290569595992565155029296875,N/E,null,null,Sin referencia,N/A
3527,0.85999999999999998667732370449812151491641998291015625,N/E,null,null,Sin referencia,N/A
3528,1.1599999999999999200639422269887290894985198974609375,N/E,null,null,Sin referencia,N/A
3529,873,N/E,null,null,Sin referencia,N/A
3530,2.390000000000000124344978758017532527446746826171875,N/E,null,null,Sin referencia,N/A
3531,14.9199999999999999289457264239899814128875732421875,N/E,null,null,Sin referencia,N/A
3532,8962.440000000000509317032992839813232421875,N/E,null,null,Sin referencia,N/A
3533,474.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3534,223,N/E,null,null,Sin referencia,N/A
